waveform,amplitude,duration,frequency,charge_uC_per_cm2,charge_balanced,ap_fired
step,1.0,200.0,100.0,0.2,False,False
step,1.2,200.0,100.0,0.23999999999999988,False,False
step,1.4,200.0,100.0,0.2799999999999998,False,False
step,1.5999999999999999,200.0,100.0,0.3200000000000002,False,False
step,1.7999999999999998,200.0,100.0,0.35999999999999993,False,False
step,1.9999999999999998,200.0,100.0,0.39999999999999997,False,False
step,2.1999999999999997,200.0,100.0,0.4400000000000001,False,False
step,2.3999999999999995,200.0,100.0,0.4799999999999997,False,True
step,2.5999999999999996,200.0,100.0,0.5200000000000002,False,True
step,2.8,200.0,100.0,0.5599999999999996,False,True
step,2.9999999999999996,200.0,100.0,0.5999999999999999,False,True
step,3.1999999999999993,200.0,100.0,0.6400000000000003,False,True
step,3.3999999999999995,200.0,100.0,0.68,False,True
step,3.5999999999999996,200.0,100.0,0.7199999999999999,False,True
step,3.7999999999999994,200.0,100.0,0.7599999999999996,False,True
step,3.999999999999999,200.0,100.0,0.7999999999999999,False,True
step,4.199999999999999,200.0,100.0,0.8400000000000004,False,True
step,4.3999999999999995,200.0,100.0,0.8800000000000002,False,True
step,4.6,200.0,100.0,0.9199999999999997,False,True
step,4.799999999999999,200.0,100.0,0.9599999999999994,False,True
sine,1.0,200.0,100.0,0.127323950284726,True,False
sine,1.2,200.0,100.0,0.15278874034167125,True,False
sine,1.4,200.0,100.0,0.17825353039861644,True,False
sine,1.5999999999999999,200.0,100.0,0.20371832045556157,True,False
sine,1.7999999999999998,200.0,100.0,0.22918311051250687,True,False
sine,1.9999999999999998,200.0,100.0,0.25464790056945197,True,False
sine,2.1999999999999997,200.0,100.0,0.28011269062639726,True,False
sine,2.3999999999999995,200.0,100.0,0.3055774806833424,True,True
sine,2.5999999999999996,200.0,100.0,0.33104227074028764,True,True
sine,2.8,200.0,100.0,0.3565070607972329,True,True
sine,2.9999999999999996,200.0,100.0,0.381971850854178,True,True
sine,3.1999999999999993,200.0,100.0,0.40743664091112314,True,True
sine,3.3999999999999995,200.0,100.0,0.43290143096806843,True,True
sine,3.5999999999999996,200.0,100.0,0.45836622102501373,True,True
sine,3.7999999999999994,200.0,100.0,0.4838310110819588,True,True
sine,3.999999999999999,200.0,100.0,0.5092958011389039,True,True
sine,4.199999999999999,200.0,100.0,0.5347605911958493,True,True
sine,4.3999999999999995,200.0,100.0,0.5602253812527945,True,True
sine,4.6,200.0,100.0,0.5856901713097398,True,True
sine,4.799999999999999,200.0,100.0,0.6111549613666848,True,True
square,1.0,200.0,100.0,0.2,True,False
square,1.2,200.0,100.0,0.23999999999999988,True,False
square,1.4,200.0,100.0,0.2799999999999998,True,False
square,1.5999999999999999,200.0,100.0,0.3200000000000002,True,False
square,1.7999999999999998,200.0,100.0,0.35999999999999993,True,True
square,1.9999999999999998,200.0,100.0,0.39999999999999997,True,True
square,2.1999999999999997,200.0,100.0,0.4400000000000001,True,True
square,2.3999999999999995,200.0,100.0,0.4799999999999997,True,True
square,2.5999999999999996,200.0,100.0,0.5200000000000002,True,True
square,2.8,200.0,100.0,0.5599999999999996,True,True
square,2.9999999999999996,200.0,100.0,0.5999999999999999,True,True
square,3.1999999999999993,200.0,100.0,0.6400000000000003,True,True
square,3.3999999999999995,200.0,100.0,0.68,True,True
square,3.5999999999999996,200.0,100.0,0.7199999999999999,True,True
square,3.7999999999999994,200.0,100.0,0.7599999999999996,True,True
square,3.999999999999999,200.0,100.0,0.7999999999999999,True,True
square,4.199999999999999,200.0,100.0,0.8400000000000004,True,True
square,4.3999999999999995,200.0,100.0,0.8800000000000002,True,True
square,4.6,200.0,100.0,0.9199999999999997,True,True
square,4.799999999999999,200.0,100.0,0.9599999999999994,True,True
triangle,1.0,200.0,100.0,0.10000100000000002,True,False
triangle,1.2,200.0,100.0,0.1200012,True,False
triangle,1.4,200.0,100.0,0.1400014,True,False
triangle,1.5999999999999999,200.0,100.0,0.1600016,True,False
triangle,1.7999999999999998,200.0,100.0,0.1800018,True,False
triangle,1.9999999999999998,200.0,100.0,0.20000200000000004,True,False
triangle,2.1999999999999997,200.0,100.0,0.22000219999999998,True,False
triangle,2.3999999999999995,200.0,100.0,0.24000239999999995,True,False
triangle,2.5999999999999996,200.0,100.0,0.2600025999999999,True,False
triangle,2.8,200.0,100.0,0.2800028,True,True
triangle,2.9999999999999996,200.0,100.0,0.30000299999999996,True,True
triangle,3.1999999999999993,200.0,100.0,0.32000319999999993,True,True
triangle,3.3999999999999995,200.0,100.0,0.34000339999999996,True,True
triangle,3.5999999999999996,200.0,100.0,0.3600036,True,True
triangle,3.7999999999999994,200.0,100.0,0.38000379999999995,True,True
triangle,3.999999999999999,200.0,100.0,0.4000040000000001,True,True
triangle,4.199999999999999,200.0,100.0,0.4200042,True,True
triangle,4.3999999999999995,200.0,100.0,0.44000439999999996,True,True
triangle,4.6,200.0,100.0,0.4600045999999999,True,True
triangle,4.799999999999999,200.0,100.0,0.4800047999999999,True,True
biphasic,1.0,200.0,100.0,0.2,True,False
biphasic,1.2,200.0,100.0,0.23999999999999988,True,False
biphasic,1.4,200.0,100.0,0.27999999999999986,True,False
biphasic,1.5999999999999999,200.0,100.0,0.3200000000000001,True,False
biphasic,1.7999999999999998,200.0,100.0,0.35999999999999993,True,False
biphasic,1.9999999999999998,200.0,100.0,0.39999999999999997,True,False
biphasic,2.1999999999999997,200.0,100.0,0.4400000000000001,True,False
biphasic,2.3999999999999995,200.0,100.0,0.47999999999999976,True,True
biphasic,2.5999999999999996,200.0,100.0,0.5200000000000002,True,True
biphasic,2.8,200.0,100.0,0.5599999999999997,True,True
biphasic,2.9999999999999996,200.0,100.0,0.5999999999999999,True,True
biphasic,3.1999999999999993,200.0,100.0,0.6400000000000002,True,True
biphasic,3.3999999999999995,200.0,100.0,0.68,True,True
biphasic,3.5999999999999996,200.0,100.0,0.7199999999999999,True,True
biphasic,3.7999999999999994,200.0,100.0,0.7599999999999996,True,True
biphasic,3.999999999999999,200.0,100.0,0.7999999999999999,True,True
biphasic,4.199999999999999,200.0,100.0,0.8400000000000004,True,True
biphasic,4.3999999999999995,200.0,100.0,0.8800000000000002,True,True
biphasic,4.6,200.0,100.0,0.9199999999999997,True,True
biphasic,4.799999999999999,200.0,100.0,0.9599999999999995,True,True
